chunk	started	finished	exit	record	attempts
acceptEdits-chunk1	2026-09-08T12:32:42.2663929+03:00	2026-09-08T12:54:07.7899376+03:00	0	run-2026-09-08T09-54-07-766Z-631543d1.json	0
acceptEdits-chunk2	2026-09-08T12:54:07.9923052+03:00	2026-09-08T13:15:55.4291587+03:00	0	run-2026-09-08T10-15-55-401Z-c4c1faa3.json	0
acceptEdits-chunk3	2026-09-08T13:15:55.6466151+03:00	2026-09-08T13:40:28.8692353+03:00	0	run-2026-09-08T10-40-28-846Z-06e91f2d.json	0
acceptEdits-chunk4	2026-09-08T13:40:29.1326312+03:00	2026-09-08T14:00:59.4426972+03:00	0	run-2026-09-08T11-00-59-419Z-38eff4b3.json	0
acceptEdits-chunk5	2026-09-08T14:00:59.6648109+03:00	2026-09-08T14:22:26.2700628+03:00	0	run-2026-09-08T11-22-26-246Z-a3590f30.json	0
