chunk	started	finished	exit	record	attempts
bypassPermissions-chunk1	2026-09-08T14:22:41.3242274+03:00	2026-09-08T14:59:15.1326096+03:00	0	run-2026-09-08T11-59-15-098Z-147c71ed.json	24
bypassPermissions-chunk2	2026-09-08T14:59:15.5113933+03:00	2026-09-08T15:38:29.0979739+03:00	0	run-2026-09-08T12-38-29-070Z-0c434e1e.json	24
bypassPermissions-chunk3	2026-09-08T15:38:29.4407589+03:00	2026-09-08T16:17:12.0000975+03:00	0	run-2026-09-08T13-17-11-967Z-2b58f036.json	24
bypassPermissions-chunk4	2026-09-08T16:17:12.3092306+03:00	2026-09-08T16:56:09.8109786+03:00	0	run-2026-09-08T13-56-09-772Z-bc105e7a.json	24
bypassPermissions-chunk5	2026-09-08T16:56:10.1362056+03:00	2026-09-08T17:06:17.5946757+03:00	-1	NONE	?
bypassPermissions-chunk5	2026-09-08T17:06:47.9827892+03:00	2026-09-08T17:21:35.3905253+03:00	-1	NONE	?
bypassPermissions-chunk5a	2026-09-08T17:22:18.8307052+03:00	2026-09-08T17:43:31.1653225+03:00	0	run-2026-09-08T14-43-31-131Z-be061f24.json	12
bypassPermissions-chunk5b	2026-09-08T17:43:48.6717776+03:00	2026-09-08T18:01:42.7634210+03:00	0	run-2026-09-08T15-01-42-733Z-c472c9b7.json	12
